servicedate,line,estimated_boardings
2020-08-27,Fitchburg,625
2020-08-27,Framingham/Worcester,1482
2020-08-27,Franklin/Foxboro,1469
2020-08-27,Greenbush,362
2020-08-27,Haverhill,778
2020-08-27,Kingston,751
2020-08-27,Lowell,999
2020-08-27,Middleborough/Lakeville,944
2020-08-27,Needham,731
2020-08-27,Newburyport/Rockport,1660
2020-08-27,Providence/Stoughton,2965
2020-08-28,Fairmount,476
2020-08-28,Fitchburg,714
2020-08-28,Framingham/Worcester,1388
2020-08-28,Franklin/Foxboro,1390
2020-08-28,Greenbush,338
2020-08-28,Haverhill,641
2020-08-28,Kingston,671
2020-08-28,Lowell,836
2020-08-28,Middleborough/Lakeville,995
2020-08-28,Needham,740
2020-08-28,Newburyport/Rockport,1767
2020-08-28,Providence/Stoughton,2549
2020-08-31,Fairmount,442
2020-08-31,Fitchburg,737
2020-08-31,Framingham/Worcester,1150
2020-08-31,Franklin/Foxboro,1412
2020-08-31,Greenbush,345
2020-08-31,Haverhill,856
2020-08-31,Kingston,734
2020-08-31,Lowell,892
2020-08-31,Middleborough/Lakeville,974
2020-08-31,Needham,502
2020-08-31,Newburyport/Rockport,1834
2020-08-31,Providence/Stoughton,2606
2020-09-01,Fairmount,440
2020-09-01,Fitchburg,764
2020-09-01,Framingham/Worcester,1207
2020-09-01,Franklin/Foxboro,1463
2020-09-01,Greenbush,396
2020-09-01,Haverhill,796
2020-09-01,Kingston,771
2020-09-01,Lowell,1058
2020-09-01,Middleborough/Lakeville,942
2020-09-01,Needham,527
2020-09-01,Newburyport/Rockport,1774
2020-09-01,Providence/Stoughton,2823
2020-09-02,Fairmount,413
2020-09-02,Fitchburg,714
2020-09-02,Framingham/Worcester,1408
2020-09-02,Franklin/Foxboro,1539
2020-09-02,Greenbush,354
2020-09-02,Haverhill,708
2020-09-02,Kingston,775
2020-09-02,Lowell,1031
2020-09-02,Middleborough/Lakeville,848
2020-09-02,Needham,2156
2020-09-02,Newburyport/Rockport,1525
2020-09-02,Providence/Stoughton,2666
2020-09-03,Fairmount,352
2020-09-03,Fitchburg,751
2020-09-03,Framingham/Worcester,1405
2020-09-03,Franklin/Foxboro,1522
2020-09-03,Greenbush,360
2020-09-03,Haverhill,732
2020-09-03,Kingston,751
2020-09-03,Lowell,1050
2020-09-03,Middleborough/Lakeville,919
2020-09-03,Needham,558
2020-09-03,Newburyport/Rockport,1608
2020-09-03,Providence/Stoughton,2650
2020-09-04,Fairmount,406
2020-09-04,Fitchburg,823
2020-09-04,Framingham/Worcester,1639
2020-09-04,Franklin/Foxboro,1580
2020-09-04,Greenbush,332
2020-09-04,Haverhill,802
2020-09-04,Kingston,676
2020-09-04,Lowell,1139
2020-09-04,Middleborough/Lakeville,942
2020-09-04,Needham,504
2020-09-04,Newburyport/Rockport,1828
2020-09-04,Providence/Stoughton,2690
2020-09-07,Fairmount,374
2020-09-07,Fitchburg,746
2020-09-07,Framingham/Worcester,1621
2020-09-07,Franklin/Foxboro,1663
2020-09-07,Greenbush,374
2020-09-07,Haverhill,753
2020-09-07,Kingston,776
2020-09-07,Lowell,999
2020-09-07,Middleborough/Lakeville,965
2020-09-07,Needham,579
2020-09-07,Newburyport/Rockport,1725
2020-09-07,Providence/Stoughton,2870
2020-09-08,Fairmount,382
2020-09-08,Fitchburg,613
2020-09-08,Framingham/Worcester,1678
2020-09-08,Franklin/Foxboro,1642
2020-09-08,Greenbush,431
2020-09-08,Haverhill,824
2020-09-08,Kingston,844
2020-09-08,Lowell,1022
2020-09-08,Middleborough/Lakeville,973
2020-09-08,Needham,634
2020-09-08,Newburyport/Rockport,1741
2020-09-08,Providence/Stoughton,2872
2020-09-09,Fairmount,375
2020-09-09,Fitchburg,634
2020-09-09,Framingham/Worcester,1990
2020-09-09,Franklin/Foxboro,1625
2020-09-09,Greenbush,373
2020-09-09,Haverhill,801
2020-09-09,Kingston,842
2020-09-09,Lowell,1086
2020-09-09,Middleborough/Lakeville,1021
2020-09-09,Needham,788
2020-09-09,Newburyport/Rockport,1717
2020-09-09,Providence/Stoughton,3068
2020-09-10,Fairmount,347
2020-09-10,Fitchburg,645
2020-09-10,Framingham/Worcester,2038
2020-09-10,Franklin/Foxboro,1818
2020-09-10,Greenbush,378
2020-09-10,Haverhill,706
2020-09-10,Kingston,810
2020-09-10,Lowell,1045
2020-09-10,Middleborough/Lakeville,1083
2020-09-10,Needham,737
2020-09-10,Newburyport/Rockport,1593
2020-09-10,Providence/Stoughton,3145
2020-09-11,Fairmount,385
2020-09-11,Fitchburg,652
2020-09-11,Framingham/Worcester,1891
2020-09-11,Franklin/Foxboro,1708
2020-09-11,Greenbush,341
2020-09-11,Haverhill,778
2020-09-11,Kingston,746
2020-09-11,Lowell,1031
2020-09-11,Middleborough/Lakeville,1217
2020-09-11,Needham,681
2020-09-11,Newburyport/Rockport,1697
2020-09-11,Providence/Stoughton,3085
2020-09-14,Fairmount,388
2020-09-14,Fitchburg,652
2020-09-14,Framingham/Worcester,1793
2020-09-14,Franklin/Foxboro,1576
2020-09-14,Greenbush,363
2020-09-14,Haverhill,762
2020-09-14,Kingston,801
2020-09-14,Lowell,1172
2020-09-14,Middleborough/Lakeville,948
2020-09-14,Needham,816
2020-09-14,Newburyport/Rockport,1821
2020-09-14,Providence/Stoughton,3100
2020-09-15,Fairmount,365
2020-09-15,Fitchburg,615
2020-09-15,Framingham/Worcester,1986
2020-09-15,Franklin/Foxboro,1858
2020-09-15,Greenbush,452
2020-09-15,Haverhill,797
2020-09-15,Kingston,806
2020-09-15,Lowell,1123
2020-09-15,Middleborough/Lakeville,1092
2020-09-15,Needham,727
2020-09-15,Newburyport/Rockport,1821
2020-09-15,Providence/Stoughton,3178
2020-09-16,Fairmount,393
2020-09-16,Fitchburg,593
2020-09-16,Framingham/Worcester,2202
2020-09-16,Franklin/Foxboro,1818
2020-09-16,Greenbush,401
2020-09-16,Haverhill,765
2020-09-16,Kingston,906
2020-09-16,Lowell,1143
2020-09-16,Middleborough/Lakeville,1090
2020-09-16,Needham,727
2020-09-16,Newburyport/Rockport,1914
2020-09-16,Providence/Stoughton,3377
2020-09-17,Fairmount,370
2020-09-17,Fitchburg,704
2020-09-17,Framingham/Worcester,1918
2020-09-17,Franklin/Foxboro,2006
2020-09-17,Greenbush,452
2020-09-17,Haverhill,792
2020-09-17,Kingston,840
2020-09-17,Lowell,1098
2020-09-17,Middleborough/Lakeville,1110
2020-09-17,Needham,760
2020-09-17,Newburyport/Rockport,1747
2020-09-17,Providence/Stoughton,3711
2020-09-18,Fairmount,422
2020-09-18,Fitchburg,642
2020-09-18,Framingham/Worcester,2205
2020-09-18,Franklin/Foxboro,1647
2020-09-18,Greenbush,388
2020-09-18,Haverhill,760
2020-09-18,Kingston,777
2020-09-18,Lowell,1078
2020-09-18,Middleborough/Lakeville,1050
2020-09-18,Needham,715
2020-09-18,Newburyport/Rockport,1617
2020-09-18,Providence/Stoughton,3442
2020-09-21,Fairmount,429
2020-09-21,Fitchburg,610
2020-09-21,Framingham/Worcester,1725
2020-09-21,Franklin/Foxboro,1505
2020-09-21,Greenbush,458
2020-09-21,Haverhill,746
2020-09-21,Kingston,734
2020-09-21,Lowell,1111
2020-09-21,Middleborough/Lakeville,1020
2020-09-21,Needham,649
2020-09-21,Newburyport/Rockport,1661
2020-09-21,Providence/Stoughton,3636
2020-09-22,Fairmount,402
2020-09-22,Fitchburg,645
2020-09-22,Framingham/Worcester,1647
2020-09-22,Franklin/Foxboro,1671
2020-09-22,Greenbush,470
2020-09-22,Haverhill,822
2020-09-22,Kingston,889
2020-09-22,Lowell,1093
2020-09-22,Middleborough/Lakeville,1219
2020-09-22,Needham,702
2020-09-22,Newburyport/Rockport,1821
2020-09-22,Providence/Stoughton,3370
2020-09-23,Fairmount,408
2020-09-23,Fitchburg,638
2020-09-23,Framingham/Worcester,1969
2020-09-23,Franklin/Foxboro,1778
2020-09-23,Greenbush,471
2020-09-23,Haverhill,780
2020-09-23,Kingston,838
2020-09-23,Lowell,1152
2020-09-23,Middleborough/Lakeville,1152
2020-09-23,Needham,756
2020-09-23,Newburyport/Rockport,1814
2020-09-23,Providence/Stoughton,3479
2020-09-24,Fairmount,489
2020-09-24,Fitchburg,689
2020-09-24,Framingham/Worcester,1911
2020-09-24,Franklin/Foxboro,1791
2020-09-24,Greenbush,523
2020-09-24,Haverhill,754
2020-09-24,Kingston,1020
2020-09-24,Lowell,1158
2020-09-24,Middleborough/Lakeville,1114
2020-09-24,Needham,673
